"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"178","9.99","+1.6","Méba Mickaël ZEZE","19 MAY 1994","FRA","3f1","Stade de La Charrière, La Chaux-de-Fonds (SUI)","03 JUL 2022","1210","2022"
"178","9.99","+0.3","Bouwahjgie NKRUMIE","16 FEB 2004","JAM","1","National Stadium, Kingston (JAM)","29 MAR 2023","1210","2023"
"178","9.99","+0.8","Ronal LONGA","30 JUN 2004","COL","3","COTP Stadium, São Paulo (BRA)","28 JUL 2023","1210","2023"
"199","10.00","+2.0","Marian WORONIN","13 AUG 1956","POL","1","Warszawa (POL)","09 JUN 1984","1206","1984"
"199","10.00","+1.0","Chidi IMOH","27 AUG 1963","NGR","1","Berlin (GER)","15 AUG 1986","1206","1986"
"199","10.00","+1.6","Robson DA SILVA","04 SEP 1964","BRA","3h3","Ciudad de México (MEX)","22 JUL 1988","1206","1988"
"199","10.00","+1.9","Koji ITO","29 JAN 1970","JPN","sf","Bangkok (THA)","13 DEC 1998","1206","1998"
"199","10.00","+1.1","Eric NKANSAH","12 DEC 1974","GHA","3","Nürnberg (GER)","13 JUN 1999","1206","1999"
"199","10.00","+0.5","Dwight THOMAS","23 SEP 1980","JAM","1","Linz (AUT)","23 AUG 2005","1206","2005"
"199","10.00","+0.4","Chris JOHNSON","28 APR 1982","USA","1","Mesquite, TX (USA)","14 JUN 2008","1206","2008"
"199","10.00","+1.6","Xavier CARTER","08 DEC 1985","USA","3qf3","Eugene, OR (USA)","28 JUN 2008","1206","2008"
"199","10.00","+1.4","Trindon HOLLIDAY","27 APR 1986","USA","1h1","Fayetteville, AR (USA)","10 JUN 2009","1206","2009"
"199","10.00","+1.4","Rae Monzavous EDWARDS","07 MAY 1981","USA","1f2","Icahn Stadium, New York, NY (USA)","12 JUN 2010","1206","2010"
"199","10.00","+1.3","Maurice MITCHELL","22 DEC 1989","USA","3","Des Moines, IA (USA)","10 JUN 2011","1206","2011"
"199","10.00","+0.4","Peimeng ZHANG","13 MAR 1987","CHN","5sf2","Luzhniki Stadion, Moskva (RUS)","11 AUG 2013","1206","2013"
"199","10.00","+1.6","Trentavis FRIDAY","05 JUN 1995","USA","1h1","Eugene, OR (USA)","05 JUL 2014","1206","2014"
"199","10.00","+1.9","John TEETERS","19 MAY 1993","USA","1h5","Hayward Field, Eugene, OR (USA)","02 JUL 2016","1206","2016"
"199","10.00","+2.0","Yunier PÉREZ","16 FEB 1985","CUB","1h1","Moratalaz, Madrid (ESP)","14 JUL 2017","1206","2017"
"199","10.00","+0.5","Cejhae GREENE","06 OCT 1995","ANT","1sf2","Barranquilla (COL)","29 JUL 2018","1206","2018"
"199","10.00","+0.8","Tosin OGUNODE","02 MAR 1994","QAT","2","Jakarta (INA)","26 AUG 2018","1206","2018"
"199","10.00","+1.3","Jerome BLAKE","18 AUG 1995","CAN","2f1","National Training Center, Clermont, FL (USA)","01 MAY 2022","1206","2022"
"199","10.00","+1.1","Ismael KONE","06 NOV 2000","CIV","1pr4","Billy Hayes T& F Complex, Bloomington, IN (USA)","25 MAY 2022","1206","2022"
"199","10.00","+1.2","Conroy JONES","08 JUL 2002","JAM","1h3","National Stadium, Kingston (JAM)","23 JUN 2022","1206","2022"
"199","10.00","+1.0","Jelani WALKER","10 JUN 1998","JAM","4","National Stadium, Kingston (JAM)","24 JUN 2022","1206","2022"
"199","10.00","+1.6","Brendon RODNEY","09 APR 1992","CAN","1h2","McLeod Stadium, Langley (CAN)","28 JUL 2023","1206","2023"
"221","10.01","+0.9","Pietro MENNEA","28 JUN 1952","ITA","1f1","Ciudad de México (MEX)","04 SEP 1979","1203","1979"
"221","10.01","+1.9","Bode OSAGIOBARE","01 DEC 1970","NGR","2f1","El Paso, TX (USA)","16 APR 1994","1203","1994"
"221","10.01","+0.6","Jeff LAYNES","03 OCT 1970","USA","1","Tempe, AZ (USA)","06 APR 1996","1203","1996"
"221","10.01","0.0","Jason SMOOTS","13 JUL 1980","USA","1","Rieti (ITA)","27 AUG 2006","1203","2006"
"221","10.01","+1.6","Jeff DEMPS","08 JAN 1990","USA","2qf1","Eugene, OR (USA)","28 JUN 2008","1203","2008"
"221","10.01","+0.9","Jacoby FORD","27 JUL 1987","USA","1h2","Fayetteville, AR (USA)","10 JUN 2009","1203","2009"
"221","10.01","+2.0","Antoine ADAMS","31 AUG 1988","SKN","1","Basseterre (SKN)","16 JUN 2013","1203","2013"
"221","10.01","+2.0","Jason ROGERS","31 AUG 1991","SKN","2","Basseterre (SKN)","16 JUN 2013","1203","2013"
"221","10.01","+1.7","Sean MCLEAN","23 MAR 1992","USA","4h2","Hayward Field, Eugene, OR (USA)","25 JUN 2015","1203","2015"
"221","10.01","+1.1","Wilfried KOFFI HUA","12 OCT 1987","CIV","1f2","Tempe, AZ (USA)","09 APR 2016","1203","2016"
"221","10.01","+1.9","Richard KILTY","02 SEP 1989","GBR","1er","Hexham (GBR)","16 JUL 2016","1203","2016"
"221","10.01","+1.8","Julian REUS","29 APR 1988","GER","1f2","Mannheim (GER)","29 JUL 2016","1203","2016"
"221","10.01","+1.4","Gavin SMELLIE","26 JUN 1986","CAN","1","Windsor (CAN)","19 MAY 2018","1203","2018"
"221","10.01","-0.7","Alonso EDWARD","08 DEC 1989","PAN","1","Cochabamba (BOL)","06 JUN 2018","1207","2018"
"221","10.01","+0.2","Emile ERASMUS","03 APR 1992","RSA","2h1","La Chaux-de-Fonds (SUI)","01 JUL 2018","1203","2018"
"221","10.01","+1.3","Devin QUINN","08 JUN 1996","USA","2sf2","Austin, TX (USA)","05 JUN 2019","1203","2019"
"221","10.01","+1.1","Waseem WILLIAMS","08 JAN 1997","JAM","1","Queretaro (MEX)","05 JUL 2019","1203","2019"
"221","10.01","+1.1","Samson COLEBROOKE","10 MAY 1997","BAH","2","Queretaro (MEX)","05 JUL 2019","1203","2019"
"221","10.01","+2.0","Shuhei TADA","24 JUN 1996","JPN","2f1","Athletic Stadium, Tottori (JPN)","06 JUN 2021","1203","2021"
"221","10.01","+0.8","Rohan BROWNING","31 DEC 1997","AUS","1h7","National Stadium, Tokyo (JPN)","31 JUL 2021","1203","2021"
"221","10.01","+1.9","Renan CORREA","15 MAR 2004","BRA","1","Bogotá (COL)","19 MAY 2023","1203","2023"
"221","10.01","+0.4","Brandon CARNES","06 MAR 1995","USA","4","Egret Stadium, Xiamen (CHN)","02 SEP 2023","1203","2023"
"221","10.01","+1.7","Malachi MURRAY","18 MAR 2000","CAN","2f1","LSU Bernie Moore Stadium, Baton Rouge, LA (USA)","27 APR 2024","1203","2024"
"221","10.01","+0.2","Kayinsola AJAYI","14 SEP 2004","NGR","3","Hayward Field, Eugene, OR (USA)","07 JUN 2024","1203","2024"
"221","10.01","+1.1","Cooper BIBBS","14 APR 1998","USA","1f1","Notre Dame HS, Sherman Oaks, CA (USA)","07 JUN 2024","1203","2024"
"246","10.02","+2.0","Charlie GREENE","21 MAR 1945","USA","1qf4","Estadio Olímpico, Ciudad de México (MEX)","13 OCT 1968","1199","1968"
"246","10.02","+1.0","James SANFORD","27 DEC 1957","USA","1","Westwood, CA (USA)","11 MAY 1980","1199","1980"
"246","10.02","+1.2","Ronald DESRUELLES","14 FEB 1955","BEL","1","Naimette-Xhovémont (BEL)","11 MAY 1985","1199","1985"
"246","10.02","+0.7","Daniel SANGOUMA","07 FEB 1965","FRA","2","Villeneuve d'Ascq (FRA)","29 JUN 1990","1199","1990"
"246","10.02","+0.3","Jeff WILLIAMS","31 DEC 1965","USA","1h","Atlanta, GA (USA)","14 JUN 1996","1199","1996"
"246","10.02","+1.7","Michael GREEN","07 NOV 1970","JAM","1","Knoxville, TN (USA)","10 APR 1997","1199","1997"
"246","10.02","+2.0","Nobuharu ASAHARA","21 JUN 1972","JPN","3","Oslo (NOR)","13 JUL 2001","1199","2001"
"246","10.02","+1.8","Clement CAMPBELL","19 DEC 1975","JAM","2h2","Zaragoza (ESP)","28 JUL 2007","1199","2007"
"246","10.02","+1.6","Leroy DIXON","20 JUN 1983","USA","4qf1","Eugene, OR (USA)","28 JUN 2008","1199","2008"
"246","10.02","+1.4","Andrew RILEY","06 SEP 1988","JAM","2h2","Des Moines, IA (USA)","06 JUN 2012","1199","2012"
"246","10.02","+1.9","Ramon GITTENS","20 JUL 1987","BAR","2f1","Montverde, FL (USA)","08 JUN 2013","1199","2013"
"246","10.02","+1.5","Warren WEIR","31 OCT 1989","JAM","2f1","Kingston (JAM)","08 JUN 2013","1199","2013"
"246","10.02","+0.7","Jevaughn MINZIE","20 JUL 1995","JAM","3","Kingston (JAM)","01 JUL 2016","1199","2016"
"246","10.02","-0.6","Paulo André CAMILO","20 AUG 1998","BRA","1","Bragança Paulista (BRA)","14 SEP 2018","1202","2018"
"246","10.02","+1.6","Usheoritse ITSEKIRI","31 JAN 1998","NGR","3","Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)","27 AUG 2019","1199","2019"
"246","10.02","+1.1","Ryuichiro SAKAI","14 MAR 1998","JPN","1h5","Athletic Stadium, Tottori (JPN)","26 JUN 2022","1199","2022"
"246","10.02","+1.4","Raphael BOUJU","15 MAY 2002","NED","3f1","Centre sportif Bout-du-Monde, Genève (SUI)","10 JUN 2023","1199","2023"
"246","10.02","+1.5","Chris ROYSTER","24 JAN 1992","USA","1h2","John McDonnell Field, Fayetteville, AR (USA)","23 JUN 2023","1199","2023"
"246","10.02","+0.2","JT SMITH","12 JAN 1998","USA","1h1","Hayward Field, Eugene, OR (USA)","06 JUL 2023","1199","2023"
"246","10.02","0.0","Hiroki YANAGITA","25 JUL 2003","JPN","1","Supachalasai National Stadium, Bangkok (THA)","14 JUL 2023","1199","2023"
"246","10.02","+1.1","Romell GLAVE","11 NOV 1999","GBR","1er1","Stratford Community Track, London (GBR)","03 SEP 2023","1199","2023"
"246","10.02","+0.6","Wanya MCCOY","29 MAR 2003","BAH","2","Percy Beard Track, Gainesville, FL (USA)","11 MAY 2024","1199","2024"
"246","10.02","+0.2","Abdul-Rasheed SAMINU","06 OCT 2001","GHA","5","Hayward Field, Eugene, OR (USA)","07 JUN 2024","1199","2024"
"269","10.03","+1.9","Stanley FLOYD","23 JUN 1961","USA","1f1","Provo, UT (USA)","05 JUN 1982","1196","1982"
"269","10.03","+0.4","Joe DELOACH","05 JUN 1967","USA","1","Eugene, OR (USA)","04 JUN 1988","1196","1988"
"269","10.03","-0.1","Matt SHIRVINGTON","25 OCT 1978","AUS","4","Kuala Lumpur (MAS)","17 SEP 1998","1196","1998"
"269","10.03","0.0","Nicolas MACROZONARIS","22 AUG 1980","CAN","1","Ciudad de México (MEX)","03 MAY 2003","1196","2003"
"269","10.03","+1.8","Shingo SUETSUGU","02 JUN 1980","JPN","2","Mito (JPN)","05 MAY 2003","1196","2003"
"269","10.03","+1.6","Simeon WILLIAMSON","16 JAN 1986","GBR","2","Birmingham (GBR)","12 JUL 2008","1196","2008"
"269","10.03","+0.5","Aaron ARMSTRONG","14 OCT 1977","TTO","2","Port-of-Spain (TTO)","19 JUN 2009","1196","2009"
"269","10.03","0.0","Andrew HINDS","25 APR 1984","BAR","1","Bridgetown (BAR)","20 JUN 2009","1196","2009"
"269","10.03","+0.7","Marcus ROWLAND","11 MAR 1990","USA","1","Port-of-Spain (TTO)","31 JUL 2009","1196","2009"
"269","10.03","+1.0","J-Mee SAMUELS","20 MAY 1987","USA","3f2","Luzern (SUI)","08 AUG 2010","1196","2010"
"269","10.03","+1.5","Gerald PHIRI","06 OCT 1988","ZAM","1f1","Clermont, FL (USA)","10 MAY 2014","1196","2014"
"269","10.03","+1.6","Jason LIVERMORE","25 APR 1988","JAM","1f2","Kingston (JAM)","11 JUN 2016","1196","2016"
"269","10.03","+1.5","Jarrion LAWSON","06 MAY 1994","USA","3h3","Sacramento, CA (USA)","22 JUN 2017","1196","2017"
"269","10.03","+1.2","Abdullah Abkar MOHAMMED","01 JAN 1997","KSA","1","Stade Charléty, Paris (FRA)","30 JUN 2018","1196","2018"
"269","10.03","+1.2","Hassan TAFTIAN","04 MAY 1993","IRI","2","Stade Charléty, Paris (FRA)","30 JUN 2018","1196","2018"
"269","10.03","+1.2","Demek KEMP","26 APR 1996","USA","1f1","Columbia, SC (USA)","13 APR 2019","1196","2019"
"269","10.03","+1.7","Lalu Muhammad ZOHRI","01 JUL 2000","INA","3","Yanmar Stadium Nagai, Osaka (JPN)","19 MAY 2019","1196","2019"
"269","10.03","+1.6","Rai BENJAMIN","27 JUL 1997","USA","2f3","AP Ranch, Fort Worth, TX (USA)","20 JUL 2020","1196","2020"
"269","10.03","+1.0","Aska CAMBRIDGE","31 MAY 1993","JPN","1","Prefectural Stadium, Fukui (JPN)","29 AUG 2020","1196","2020"
"269","10.03","+1.2","Oshane BAILEY","08 SEP 1989","JAM","3h3","National Stadium, Kingston (JAM)","23 JUN 2022","1196","2022"
"269","10.03","0.0","Jerod ELCOCK","30 JUL 1998","TTO","1sf1","Hasely Crawford Stadium, Port-of-Spain (TTO)","25 JUN 2022","1196","2022"
"269","10.03","-0.6","Josephus LYLES","22 JUL 1998","USA","2","Billy J. Murphy Track and Field Complex, Memphis, TN (USA)","30 JUL 2022","1199","2022"
"269","10.03","+0.8","Seye OGUNLEWE","30 AUG 1991","NGR","1f1","Yabatech Sport Complex, Lagos (NGR)","14 JUL 2023","1196","2023"
"269","10.03","+1.6","Rikkoi BRATHWAITE","13 FEB 1999","IVB","2f1","National Training Center, Clermont, FL (USA)","20 APR 2024","1196","2024"
"269","10.03","+0.6","Mccallum T'MARS","20 MAY 2004","USA","3","Percy Beard Track, Gainesville, FL (USA)","11 MAY 2024","1196","2024"
"269","10.03","+1.9","Duan ASEMOTA","29 AUG 1996","CAN","1","Alumni Stadium, London (CAN)","26 MAY 2024","1196","2024"
"295","10.04","+0.3","Lennox MILLER","08 OCT 1946","JAM","2","Estadio Olímpico, Ciudad de México (MEX)","14 OCT 1968","1193","1968"
"296","9.8h","","Harvey GLANCE","28 MAR 1957","USA","1","Auburn, AL (USA)","09 APR 1977","1193","1977"
"296","9.8h","+0.4","Jeff PHILLIPS","16 MAY 1957","USA","1","Knoxville, TN (USA)","22 MAY 1982","1193","1982"
"297","10.04","+1.8","Mark WITHERSPOON","03 SEP 1963","USA","1","San José (USA)","27 JUN 1987","1193","1987"
"297","10.04","+0.5","Emmit KING","24 MAR 1959","USA","1","Tampa, FL (USA)","17 JUN 1988","1193","1988"
"298","9.8h","+1.9","Ron CLARK","01 NOV 1969","USA","4f1","Houston, TX (USA)","19 MAY 1995","1193","1995"
"298","10.04","0.0","Innocent ASONZE","30 DEC 1972","NGR","1","Enugu (NGR)","26 APR 1997","1193","1997"
"298","10.04","+1.6","Kenny BROKENBURR","29 OCT 1968","USA","h","Indianapolis, IN (USA)","12 JUN 1997","1193","1997"
"298","10.04","+1.9","Jonathan CARTER","05 MAY 1972","USA","h","New Orleans, LA (USA)","19 JUN 1998","1193","1998"
"298","10.04","+0.3","Darren CAMPBELL","12 SEP 1973","GBR","1","Népstadion, Budapest (HUN)","19 AUG 1998","1193","1998"
"298","10.04","+0.5","Terrence TRAMMELL","23 NOV 1978","USA","sf","Durham, NC (USA)","02 JUN 2000","1193","2000"
"298","10.04","+0.4","Mark LEWIS-FRANCIS","04 SEP 1982","GBR","3","Stade de France, Paris-St-Denis (FRA)","05 JUL 2002","1193","2002"
"304","9.8h","+1.7","Henry VIZCAÍNO","16 MAY 1980","CUB","1h1","La Habana (CUB)","14 JUN 2007","1193","2007"
"299","10.04","+1.0","Preston PERRY","13 SEP 1983","USA","1f2","Provo, UT (USA)","24 MAY 2008","1193","2008"
"305","9.8h","+0.2","Chinedu ORIALA","17 DEC 1981","NGR","1f2","Abuja (NGR)","23 JUN 2008","1193","2008"
"300","10.04","+1.7","D'Angelo CHERRY","01 AUG 1990","USA","1h4","Fayetteville, AR (USA)","10 JUN 2009","1193","2009"
"306","9.8h","+1.6","David LESCAY","19 FEB 1989","CUB","1","La Habana (CUB)","18 FEB 2010","1193","2010"
"306","9.8h","+1.8","Nicholas IMHOAPERAMHE","18 APR 1992","NGR","1","Kaduna (NGR)","31 OCT 2014","1193","2014"
"302","10.04","+1.5","Calesio NEWMAN","20 AUG 1986","USA","1","Greensboro, NC (USA)","17 MAY 2015","1193","2015"
"302","10.04","+1.4","Kolby LISTENBEE","25 JAN 1994","USA","1sf3","Eugene, OR (USA)","10 JUN 2015","1193","2015"
"302","10.04","+1.5","James ELLINGTON","06 SEP 1985","GBR","2sf1","Olympisch Stadion, Amsterdam (NED)","07 JUL 2016","1193","2016"
"302","10.04","+1.7","Ojie EDOBURUN","02 JUN 1996","GBR","2","Stadion Juliska, Praha (CZE)","04 JUN 2018","1193","2018"
"302","10.04","+2.0","Nigel ELLIS","08 AUG 1997","JAM","3f1","Tropical Park Track, Miami, FL (USA)","24 APR 2021","1193","2021"
"302","10.04","+1.2","Mouhamadou FALL","25 FEB 1992","FRA","4","Moi International Sports Centre, Kasarani, Nairobi (KEN)","18 SEP 2021","1193","2021"
"302","10.04","+1.7","Clarence MUNYAI","20 FEB 1998","RSA","1h2","Bestmed Tuks Stadium, Pretoria (RSA)","12 MAR 2022","1193","2022"
"302","10.04","-0.1","Erriyon KNIGHTON","29 JAN 2004","USA","1f1","Percy Beard Track, Gainesville, FL (USA)","16 APR 2022","1193","2022"
"302","10.04","+1.9","Alaba Olukunle AKINTOLA","14 SEP 2001","NGR","1","Park West Ath. Complex, San Antonio, TX (USA)","15 MAY 2022","1193","2022"
"302","10.04","+0.4","Rodrigo DO NASCIMENTO","26 SEP 1994","BRA","1h5","Rio de Janeiro (BRA)","22 JUN 2022","1193","2022"
"302","10.04","+1.6","Lucas ANSAH-PEPRAH","16 JAN 2000","GER","4f1","Stade de La Charrière, La Chaux-de-Fonds (SUI)","03 JUL 2022","1193","2022"
"302","10.04","+2.0","James DADZIE","17 MAY 2001","GHA","1h1","New Mexico JC, Hobbs, NM (USA)","19 MAY 2023","1193","2023"
"302","10.04","+1.7","José GONZÁLEZ","14 MAY 1995","DOM","1h2","Stade L. Achille, Fort-de-France (FRA)","27 MAY 2023","1193","2023"
"302","10.04","+1.3","Robert GREGORY","12 DEC 2001","USA","3sf2","Mike A. Myers Stadium, Austin, TX (USA)","07 JUN 2023","1193","2023"
"302","10.04","+2.0","Eloy BENITEZ","07 MAY 2003","PUR","3f1","National Training Center, Clermont, FL (USA)","11 MAY 2024","1193","2024"
"302","10.04","+0.6","Myles THOMAS","2004","USA","4","Percy Beard Track, Gainesville, FL (USA)","11 MAY 2024","1193","2024"
"302","10.04","+0.8","Lance LANG","01 FEB 2001","USA","3pr6","John McDonnell Field, Fayetteville, AR (USA)","22 MAY 2024","1193","2024"
"302","10.04","+1.4","Zachaeus BEARD","","USA","3sf2","Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)","24 MAY 2024","1193","2024"
"302","10.04","+2.0","Eliezer ADJIBI","23 SEP 2000","CAN","1h2","Alumni Stadium, Guelph (CAN)","04 JUN 2024","1193","2024"
"332","10.05","-1.2","Steve RIDDICK","18 SEP 1951","USA","1","Zürich (SUI)","20 AUG 1975","1196","1975"
"332","10.05","+1.5","Osmond EZINWA","22 NOV 1971","NGR","3","Arena Civica Gianni Brera, Milano (ITA)","07 SEP 1996","1189","1996"
"332","10.05","+0.5","Greg SADDLER","29 JUN 1974","USA","2h2","Athina (GRE)","28 JUN 2000","1189","2000"
"332","10.05","+1.0","Kaaron CONWRIGHT","08 AUG 1976","USA","1","Flagstaff, AZ (USA)","08 JUL 2000","1189","2000"
"332","10.05","+1.0","Christopher WILLIAMS","15 MAR 1972","JAM","sf","Kingston (JAM)","21 JUL 2000","1189","2000"
"332","10.05","+0.4","Emmanuel CALLENDER","10 MAY 1984","TTO","2f2","Letzigrund, Zürich (SUI)","28 AUG 2009","1189","2009"
"332","10.05","+1.8","Tevin HESTER","10 JAN 1994","USA","1h5","Jacksonville, FL (USA)","28 MAY 2015","1189","2015"
"332","10.05","+1.6","Markesh WOODSON","06 SEP 1993","USA","3sf3","Eugene, OR (USA)","08 JUN 2016","1189","2016"
"332","10.05","+2.0","Justin WALKER","30 NOV 1990","USA","3h1","Montverde, FL (USA)","11 JUN 2016","1189","2016"
"332","10.05","+2.0","David LIMA","06 SEP 1990","POR","2h1","Moratalaz, Madrid (ESP)","14 JUL 2017","1189","2017"
"332","10.05","+1.2","Rodney ROWE","17 MAR 1997","USA","1","Greensboro, NC (USA)","04 MAY 2019","1189","2019"
"332","10.05","+1.3","Davon DEMOSS","20 MAY 1996","USA","4sf2","Austin, TX (USA)","05 JUN 2019","1189","2019"
"332","10.05","+0.4","Terrance LAIRD","12 OCT 1998","USA","1","Hayward Field, Eugene, OR (USA)","11 JUN 2021","1189","2021"
"332","10.05","+1.5","Mark Otieno ODHIAMBO","11 MAY 1993","KEN","2","Moi International Sports Centre, Kasarani, Nairobi (KEN)","17 JUN 2021","1189","2021"
"332","10.05","+0.6","Tapiwanashe MAKARAWU","14 AUG 2000","ZIM","1","New Mexico JC, Hobbs, NM (USA)","20 MAY 2023","1189","2023"
"332","10.05","+0.1","Dominik KOPEĆ","05 MAR 1995","POL","1f1","Paul-Greifzu-Stadion, Dessau (GER)","17 JUN 2023","1189","2023"
"332","10.05","+2.0","Devin AUGUSTINE","02 DEC 2003","TTO","1","University of Michigan Outdoor Track Stadium, Ann Arbor, MI (USA)","12 MAY 2024","1189","2024"
"332","10.05","+0.7","Jehlani GORDON","01 DEC 2003","JAM","1sf3","Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)","24 MAY 2024","1189","2024"
"332","10.05","+1.1","Asani HAMPTON","","USA","2f1","Notre Dame HS, Sherman Oaks, CA (USA)","07 JUN 2024","1189","2024"
"332","10.05","+0.7","Chituru ALI","06 APR 1999","ITA","2","Stadio Olimpico, Roma (ITA)","08 JUN 2024","1189","2024"
"352","10.06","0.0","Hasely CRAWFORD","16 AUG 1950","TTO","1","Olympic Stadium, Montréal (CAN)","24 JUL 1976","1186","1976"
"352","10.06","+1.6","Ron BROWN","31 MAR 1961","USA","3","Zürich (SUI)","24 AUG 1983","1186","1983"
"352","10.06","+2.0","Leandro PENALVER","23 MAY 1961","CUB","1","Caracas (VEN)","24 AUG 1983","1186","1983"
"352","10.06","+1.9","Frank EMMELMANN","15 SEP 1961","GDR","1","Berlin (GDR)","22 SEP 1985","1186","1985"
"352","10.06","+0.3","Andres SIMÓN","15 SEP 1961","CUB","1","La Habana (CUB)","01 AUG 1987","1186","1987"
"352","10.06","+2.0","Johan ROSSOUW","20 OCT 1965","RSA","1","Johannesburg (RSA)","23 APR 1988","1186","1988"
"352","10.06","+1.3","Patrick WILLIAMS","11 NOV 1965","JAM","1","Modesto, CA (USA)","05 MAY 1990","1186","1990"
"352","10.06","+2.0","Rodney LEWIS","17 JUL 1966","USA","1h3","Knoxville, TN (USA)","15 JUN 1994","1186","1994"
"352","10.06","+1.7","Terry BOWEN","15 SEP 1971","USA","1h3","Fresno, CA (USA)","01 APR 1995","1186","1995"
"352","10.06","0.0","Sunday EMMANUEL","08 OCT 1978","NGR","2","Enugu (NGR)","26 APR 1997","1186","1997"
"352","10.06","+0.9","André Domingos DA SILVA","26 NOV 1972","BRA","1","Bogotá (COL)","25 JUN 1999","1186","1999"
"352","10.06","+1.8","Tony MCCALL","16 JUN 1974","USA","2","Durham, NC (USA)","08 APR 2000","1186","2000"
"352","10.06","+1.3","Marlon DEVONISH","01 JUN 1976","GBR","1f2","Stade Olympique de la Pontaise, Lausanne (SUI)","10 JUL 2007","1186","2007"
"352","10.06","+0.7","Tyrone EDGAR","29 MAR 1982","GBR","1f1","Genève (SUI)","31 MAY 2008","1186","2008"
"352","10.06","+1.7","Martial MBANDJOCK","14 OCT 1985","FRA","1","Albi (FRA)","25 JUL 2008","1186","2008"
"352","10.06","+2.0","Dwight PHILLIPS","01 OCT 1977","USA","1f6","Athens, GA (USA)","09 MAY 2009","1186","2009"
"352","10.06","+1.2","Simone COLLIO","27 DEC 1979","ITA","1","Rieti (ITA)","21 JUL 2009","1186","2009"
"352","10.06","+1.7","Sam EFFAH","29 DEC 1988","CAN","1","Miramar, FL (USA)","09 JUL 2010","1186","2010"
"352","10.06","+2.0","Dexter LEE","18 JAN 1991","JAM","2f1","São Paulo (BRA)","22 MAY 2011","1186","2011"
"352","10.06","+2.0","Ogho-Oghene EGWERO","26 NOV 1988","NGR","1sf2","Maputo (MOZ)","12 SEP 2011","1186","2011"
"352","10.06","+1.0","Jason YOUNG","21 MAR 1991","JAM","1f2","Luzern (SUI)","17 JUL 2012","1186","2012"
"352","10.06","+1.7","Levi Asher CADOGAN","08 NOV 1995","BAR","1f2","St. Michael (BAR)","20 JUN 2015","1186","2015"
"352","10.06","+1.0","Bruno HORTELANO","18 SEP 1991","ESP","2","Moratalaz, Madrid (ESP)","23 JUN 2016","1186","2016"
"352","10.06","+1.7","Roscoe ENGEL","06 MAR 1989","RSA","1sf3","Pretoria (RSA)","15 MAR 2018","1186","2018"
"352","10.06","+1.1","Sydney SIAME","07 OCT 1997","ZAM","1","x-bionic sphere, Šamorín (SVK)","29 JUN 2018","1186","2018"
"352","10.06","+0.8","Bryand RINCHER","10 SEP 1998","USA","5","Austin, TX (USA)","07 JUN 2019","1186","2019"
